   Ordinate,   Date / Time,RSAC128 POS DWR-DMS-DSM2
---------------------------------------------------
Units, ,UNSPECIF
Type, ,INST-VAL
255,02 May 91, 11:45,0.0000
256,03 May 91, 13:36,2.0000
257,16 May 91, 13:40,0.0000
258,18 May 91, 05:25,2.0000
259,20 May 91, 13:25,0.0000
260,25 May 91, 05:25,2.0000
261,30 May 91, 10:25,0.0000
262,01 Jun 91, 05:25,2.0000
263,03 Jun 91, 12:37,0.0000
264,07 Jun 91, 07:46,2.0000
265,10 Jun 91, 09:24,0.0000
266,13 Jun 91, 07:25,2.0000
267,27 Jun 91, 13:56,0.0000
268,29 Jun 91, 05:25,2.0000
269,03 Feb 92, 10:25,0.0000
270,01 May 92, 08:32,2.0000
271,15 May 92, 08:00,0.0000
272,22 May 92, 09:00,2.0000
273,26 May 92, 08:24,0.0000
274,29 May 92, 15:49,2.0000
275,01 Jun 92, 08:21,0.0000
276,03 Jun 92, 08:08,2.0000
277,03 Jun 92, 13:27,0.0000
278,08 Jun 92, 14:21,2.0000
279,12 Dec 92, 11:25,0.0000
280,14 Dec 92, 17:55,2.0000
281,03 Jan 93, 11:25,0.0000
282,29 May 93, 16:56,2.0000
283,01 Jun 93, 13:36,0.0000
284,18 Jun 93, 09:02,2.0000
285,29 Oct 93, 08:38,0.0000
286,01 Nov 93, 09:30,2.0000
287,02 Nov 93, 11:01,0.0000
288,07 Nov 93, 09:40,2.0000
289,08 Jan 94, 10:41,0.0000
290,27 May 94, 12:26,2.0000
291,22 Jun 94, 13:20,0.0000
292,24 Jun 94, 12:38,2.0000
293,29 Jun 94, 12:35,0.0000
294,01 Jul 94, 14:03,2.0000
295,05 Jul 94, 13:25,0.0000
296,08 Jul 94, 12:35,2.0000
297,26 Jul 94, 13:29,0.0000
298,29 Jul 94, 12:26,2.0000
299,11 Nov 94, 12:40,0.0000
300,14 Nov 94, 18:06,2.0000
301,08 Dec 94, 10:29,0.0000
302,14 Dec 94, 16:25,2.0000
303,16 Dec 94, 08:35,0.0000
304,19 Dec 94, 13:54,2.0000
305,04 Jan 95, 10:34,0.0000
306,28 Jul 95, 06:00,2.0000
307,19 Sep 95, 13:01,0.0000
308,22 Sep 95, 10:01,2.0000
309,11 Dec 95, 09:00,0.0000
310,12 Jun 96, 08:00,2.0000
311,12 Nov 96, 13:01,0.0000
312,15 Nov 96, 13:01,2.0000
313,20 Nov 96, 12:00,0.0000
314,16 May 97, 18:00,2.0000
315,21 May 97, 10:20,0.0000
316,23 May 97, 12:26,2.0000
317,28 May 97, 08:25,0.0000
318,30 May 97, 12:26,2.0000
319,12 Jun 97, 08:25,0.0000
320,16 Jun 97, 08:55,2.0000
321,01 Jul 97, 06:26,0.0000
322,03 Jul 97, 11:25,2.0000
323,06 Oct 97, 14:55,0.0000
324,15 Oct 97, 07:56,2.0000
325,25 Nov 97, 05:24,0.0000
326,17 Jul 98, 09:26,2.0000
327,08 Sep 98, 11:26,0.0000
328,28 May 99, 07:53,2.0000
329,26 Nov 99, 08:24,0.0000
330,14 Dec 99, 09:26,2.0000
331,14 Dec 99, 14:26,0.0000
332,15 Dec 99, 09:23,2.0000
333,16 Jan 00, 09:42,0.0000
334,26 May 00, 09:26,2.0000
335,05 Jun 00, 09:26,0.0000
336,09 Jun 00, 09:20,2.0000
337,12 Jun 00, 09:26,0.0000
338,16 Jun 00, 09:31,2.0000
339,28 Sep 00, 05:55,0.0000
340,28 Sep 00, 12:26,2.0000
341,28 Sep 00, 17:52,0.0000
342,29 Sep 00, 01:05,2.0000
343,29 Sep 00, 06:56,0.0000
344,29 Sep 00, 13:11,2.0000
345,29 Sep 00, 18:42,0.0000
346,30 Sep 00, 02:10,2.0000
347,30 Sep 00, 08:04,0.0000
348,30 Sep 00, 13:50,2.0000
349,30 Sep 00, 19:11,0.0000
350,01 Oct 00, 03:17,2.0000
351,01 Oct 00, 08:49,0.0000
352,01 Oct 00, 14:46,2.0000
353,01 Oct 00, 19:56,0.0000
354,02 Oct 00, 04:11,2.0000
355,02 Oct 00, 09:26,0.0000
356,02 Oct 00, 14:41,2.0000
357,02 Oct 00, 20:41,0.0000
358,03 Oct 00, 05:15,2.0000
359,03 Oct 00, 10:56,0.0000
360,03 Oct 00, 14:10,2.0000
361,03 Oct 00, 21:26,0.0000
362,04 Oct 00, 06:14,2.0000
363,04 Oct 00, 11:41,0.0000
364,04 Oct 00, 17:04,2.0000
365,04 Oct 00, 21:09,0.0000
366,05 Oct 00, 06:56,2.0000
367,05 Oct 00, 12:26,0.0000
368,05 Oct 00, 17:55,2.0000
369,05 Oct 00, 23:12,0.0000
370,06 Oct 00, 07:41,2.0000
371,06 Oct 00, 13:11,0.0000
372,06 Oct 00, 18:37,2.0000
373,06 Oct 00, 23:55,0.0000
374,07 Oct 00, 08:26,2.0000
375,07 Oct 00, 13:56,0.0000
376,07 Oct 00, 19:41,2.0000
377,08 Oct 00, 00:54,0.0000
378,08 Oct 00, 08:57,2.0000
379,08 Oct 00, 14:38,0.0000
380,08 Oct 00, 20:24,2.0000
381,09 Oct 00, 01:50,0.0000
382,09 Oct 00, 09:26,2.0000
383,09 Oct 00, 15:11,0.0000
384,09 Oct 00, 21:20,2.0000
385,10 Oct 00, 02:52,0.0000
386,10 Oct 00, 10:11,2.0000
387,10 Oct 00, 15:40,0.0000
388,10 Oct 00, 22:11,2.0000
389,11 Oct 00, 03:40,0.0000
390,11 Oct 00, 10:56,2.0000
391,11 Oct 00, 16:11,0.0000
392,11 Oct 00, 23:10,2.0000
393,12 Oct 00, 04:39,0.0000
394,12 Oct 00, 11:26,2.0000
395,12 Oct 00, 16:56,0.0000
396,12 Oct 00, 23:57,2.0000
397,13 Oct 00, 05:41,0.0000
398,13 Oct 00, 11:41,2.0000
399,13 Oct 00, 17:24,0.0000
400,14 Oct 00, 00:56,2.0000
401,14 Oct 00, 06:54,0.0000
402,14 Oct 00, 12:26,2.0000
403,14 Oct 00, 19:56,0.0000
404,15 Oct 00, 02:04,2.0000
405,15 Oct 00, 08:04,0.0000
406,15 Oct 00, 13:11,2.0000
407,15 Oct 00, 18:40,0.0000
408,16 Oct 00, 02:55,2.0000
409,16 Oct 00, 08:26,0.0000
410,16 Oct 00, 13:56,2.0000
411,16 Oct 00, 19:25,0.0000
412,17 Oct 00, 03:54,2.0000
413,17 Oct 00, 09:26,0.0000
414,17 Oct 00, 14:41,2.0000
415,17 Oct 00, 20:24,0.0000
416,18 Oct 00, 04:56,2.0000
417,18 Oct 00, 10:25,0.0000
418,18 Oct 00, 15:40,2.0000
419,18 Oct 00, 21:11,0.0000
420,19 Oct 00, 05:38,2.0000
421,19 Oct 00, 11:10,0.0000
422,19 Oct 00, 16:44,2.0000
423,19 Oct 00, 22:11,0.0000
424,20 Oct 00, 06:40,2.0000
425,20 Oct 00, 11:55,0.0000
426,21 Oct 00, 07:22,2.0000
427,21 Oct 00, 13:56,0.0000
428,22 Oct 00, 08:10,2.0000
429,22 Oct 00, 13:39,0.0000
430,23 Oct 00, 08:55,2.0000
431,23 Oct 00, 14:26,0.0000
432,24 Oct 00, 09:14,2.0000
433,24 Oct 00, 15:11,0.0000
434,25 Oct 00, 10:25,2.0000
435,25 Oct 00, 15:56,0.0000
436,26 Oct 00, 10:56,2.0000
437,26 Oct 00, 16:25,0.0000
438,27 Oct 00, 11:41,2.0000
439,27 Oct 00, 19:11,0.0000
440,29 Oct 00, 13:11,2.0000
441,29 Oct 00, 18:40,0.0000
442,30 Oct 00, 13:56,2.0000
443,30 Oct 00, 19:25,0.0000
444,31 Oct 00, 14:41,2.0000
445,31 Oct 00, 19:56,0.0000
446,01 Nov 00, 15:26,2.0000
447,01 Nov 00, 20:41,0.0000
448,02 Nov 00, 16:25,2.0000
449,02 Nov 00, 21:26,0.0000
450,03 Nov 00, 06:11,2.0000
451,03 Nov 00, 11:55,0.0000
452,04 Nov 00, 06:56,2.0000
453,04 Nov 00, 12:40,0.0000
454,05 Nov 00, 07:25,2.0000
455,05 Nov 00, 15:11,0.0000
456,06 Nov 00, 08:10,2.0000
457,06 Nov 00, 13:41,0.0000
458,07 Nov 00, 08:41,2.0000
459,07 Nov 00, 14:10,0.0000
460,08 Nov 00, 09:26,2.0000
461,22 Dec 00, 10:25,0.0000
462,26 Dec 00, 14:26,2.0000
463,14 Jan 01, 10:25,0.0000
464,23 Jan 01, 10:25,2.0000
465,26 Jan 01, 10:25,0.0000
466,25 May 01, 11:15,2.0000
467,29 May 01, 04:25,0.0000
468,09 Jun 01, 05:21,2.0000
469,11 Jun 01, 05:21,0.0000
470,14 Jun 01, 12:51,2.0000
471,10 Aug 01, 16:41,0.0000
472,10 Aug 01, 22:53,2.0000
473,12 Aug 01, 18:09,0.0000
474,13 Aug 01, 00:11,2.0000
475,14 Aug 01, 19:58,0.0000
476,15 Aug 01, 01:22,2.0000
477,16 Aug 01, 21:20,0.0000
478,17 Aug 01, 02:55,2.0000
479,18 Aug 01, 23:10,0.0000
480,19 Aug 01, 04:39,2.0000
481,21 Aug 01, 01:25,0.0000
482,21 Aug 01, 06:26,2.0000
483,23 Aug 01, 04:22,0.0000
484,23 Aug 01, 08:26,2.0000
485,25 Aug 01, 16:22,0.0000
486,25 Aug 01, 23:10,2.0000
487,26 Aug 01, 18:03,0.0000
488,26 Aug 01, 23:55,2.0000
489,08 Oct 01, 05:46,0.0000
490,08 Oct 01, 11:26,2.0000
491,09 Oct 01, 06:40,0.0000
492,09 Oct 01, 12:26,2.0000
493,10 Oct 01, 07:25,0.0000
494,10 Oct 01, 13:11,2.0000
495,11 Oct 01, 19:25,0.0000
496,12 Oct 01, 00:26,2.0000
497,12 Oct 01, 20:18,0.0000
498,13 Oct 01, 01:36,2.0000
499,13 Oct 01, 21:03,0.0000
500,14 Oct 01, 02:35,2.0000
501,14 Oct 01, 22:05,0.0000
502,15 Oct 01, 03:26,2.0000
503,15 Oct 01, 23:38,0.0000
504,16 Oct 01, 04:13,2.0000
505,17 Oct 01, 00:54,0.0000
506,17 Oct 01, 05:15,2.0000
507,18 Oct 01, 01:50,0.0000
508,18 Oct 01, 07:19,2.0000
509,19 Oct 01, 03:03,0.0000
510,19 Oct 01, 08:21,2.0000
511,20 Oct 01, 03:59,0.0000
512,20 Oct 01, 09:31,2.0000
513,20 Oct 01, 14:18,0.0000
514,20 Oct 01, 19:36,2.0000
515,21 Oct 01, 15:06,0.0000
516,21 Oct 01, 20:35,2.0000
517,22 Oct 01, 15:59,0.0000
518,22 Oct 01, 21:06,2.0000
519,24 Oct 01, 17:52,0.0000
520,24 Oct 01, 22:58,2.0000
521,25 Oct 01, 19:05,0.0000
522,25 Oct 01, 23:55,2.0000
523,26 Oct 01, 19:30,0.0000
524,27 Oct 01, 00:40,2.0000
525,21 Nov 01, 10:25,0.0000
526,29 Nov 01, 14:26,2.0000
527,04 Dec 01, 09:31,0.0000
528,24 May 02, 09:26,2.0000
529,28 May 02, 09:26,0.0000
530,31 May 02, 09:26,2.0000
531,03 Jun 02, 19:19,0.0000
532,04 Jun 02, 04:30,2.0000
533,04 Jun 02, 19:27,0.0000
534,05 Jun 02, 04:27,2.0000
535,05 Jun 02, 19:25,0.0000
536,06 Jun 02, 04:25,2.0000
537,06 Jun 02, 19:27,0.0000
538,07 Jun 02, 04:27,2.0000
539,09 Jun 02, 22:25,0.0000
540,10 Jun 02, 06:28,2.0000
541,10 Jun 02, 22:25,0.0000
542,11 Jun 02, 06:28,2.0000
543,11 Jun 02, 22:25,0.0000
544,12 Jun 02, 06:28,2.0000
545,12 Jun 02, 22:25,0.0000
546,13 Jun 02, 06:28,2.0000
547,13 Jun 02, 22:25,0.0000
548,14 Jun 02, 06:26,2.0000
549,16 Oct 02, 07:36,0.0000
550,19 Oct 02, 07:25,2.0000
551,19 Oct 02, 07:30,1.0000
552,12 Nov 02, 08:15,0.0000
553,12 Nov 02, 17:29,2.0000
554,03 Dec 02, 10:11,0.0000
555,10 Dec 02, 13:56,2.0000
556,16 Dec 02, 11:24,0.0000
557,30 May 03, 15:26,2.0000
558,02 Jun 03, 07:25,0.0000
559,06 Jun 03, 10:13,2.0000
560,09 Jun 03, 08:10,0.0000
561,12 Jun 03, 08:26,2.0000
562,01 Dec 03, 09:59,0.0000
563,28 May 04, 09:00,2.0000
564,01 Jun 04, 09:00,0.0000
565,03 Jun 04, 09:31,2.0000
566,05 Dec 04, 12:00,0.0000
567,28 Dec 04, 09:59,2.0000
568,29 Dec 04, 17:01,0.0000
569,25 Jun 05, 09:14,2.0000
570,16 Nov 05, 08:01,0.0000
571,20 Nov 05, 08:01,2.0000
572,03 Dec 05, 08:01,0.0000
573,30 Jun 06, 08:01,2.0000
574,15 Dec 06, 08:01,0.0000
575,15 Dec 06, 09:00,0.0000
576,25 May 07, 08:01,2.0000
577,30 May 07, 11:01,0.0000
578,02 Jun 07, 06:59,2.0000
579,05 Jun 07, 09:00,0.0000
580,09 Jun 07, 06:59,2.0000
581,11 Jun 07, 06:59,0.0000
582,16 Jun 07, 06:59,2.0000
583,14 Dec 07, 09:59,0.0000
584,23 May 08, 09:00,2.0000
585,27 May 08, 09:00,0.0000
586,30 May 08, 09:00,2.0000
587,02 Jun 08, 09:00,0.0000
588,06 Jun 08, 09:00,2.0000
589,09 Jun 08, 09:00,0.0000
590,13 Jun 08, 09:00,2.0000
591,10 Nov 08, 07:00,1.0000
592,12 Nov 08, 08:00,2.0000
593,12 Nov 08, 15:45,0.0000
594,13 Nov 08, 08:00,2.0000
595,13 Nov 08, 15:45,0.0000
596,14 Nov 08, 08:00,2.0000
597,14 Nov 08, 15:45,0.0000
598,15 Nov 08, 08:00,2.0000
599,15 Nov 08, 15:45,0.0000
600,16 Nov 08, 08:00,2.0000
601,16 Nov 08, 15:45,0.0000
602,17 Nov 08, 08:00,2.0000
603,17 Nov 08, 15:45,0.0000
604,18 Nov 08, 08:00,2.0000
605,18 Nov 08, 15:45,0.0000
606,19 Nov 08, 08:00,2.0000
607,19 Nov 08, 15:45,0.0000
608,20 Nov 08, 08:00,2.0000
609,20 Nov 08, 15:45,0.0000
610,21 Nov 08, 08:00,2.0000
611,21 Nov 08, 15:45,0.0000
612,22 Nov 08, 08:00,2.0000
613,22 Nov 08, 15:45,0.0000
614,23 Nov 08, 08:00,2.0000
615,23 Nov 08, 15:45,0.0000
616,24 Nov 08, 08:00,2.0000
617,24 Nov 08, 15:45,0.0000
618,25 Nov 08, 08:00,2.0000
619,25 Nov 08, 15:45,0.0000
620,26 Nov 08, 08:00,2.0000
621,13 Dec 08, 15:45,0.0000
622,14 Dec 08, 08:25,2.0000
623,14 Dec 08, 15:45,0.0000
624,15 Dec 08, 08:25,2.0000
625,15 Dec 08, 15:45,0.0000
626,16 Dec 08, 08:25,2.0000
627,16 Dec 08, 15:45,0.0000
628,17 Dec 08, 08:25,2.0000
629,17 Dec 08, 15:45,0.0000
630,18 Dec 08, 08:25,2.0000
631,18 Dec 08, 15:45,0.0000
632,19 Dec 08, 08:43,2.0000
633,19 Dec 08, 15:50,0.0000
634,20 Dec 08, 08:44,2.0000
635,20 Dec 08, 15:48,0.0000
636,21 Dec 08, 08:44,2.0000
637,21 Dec 08, 15:48,0.0000
638,22 Dec 08, 08:44,2.0000
639,22 Dec 08, 15:49,0.0000
640,22 May 09, 10:00,2.0000
641,26 May 09, 11:30,0.0000
642,29 May 09, 10:24,2.0000
643,01 Jun 09, 09:57,0.0000
644,05 Jun 09, 10:25,2.0000
645,08 Jun 09, 10:24,0.0000
646,12 Jun 09, 10:04,2.0000
647,15 Jun 09, 09:46,0.0000
648,16 Jun 09, 10:37,2.0000
649,23 Oct 09, 10:26,0.0000
650,27 Oct 09, 10:00,2.0000
651,06 Nov 09, 09:54,0.0000
652,07 Nov 09, 09:47,2.0000
653,12 Nov 09, 09:59,0.0000
654,13 Nov 09, 09:56,2.0000
655,19 Nov 09, 10:00,0.0000
656,25 Nov 09, 10:16,2.0000
657,30 Nov 09, 10:15,0.0000
658,01 Dec 09, 09:54,2.0000
659,06 Dec 09, 09:55,0.0000
660,07 Dec 09, 10:02,2.0000
661,15 Dec 09, 09:58,0.0000
662,28 May 10, 10:05,2.0000
663,01 Jun 10, 10:01,0.0000
664,04 Jun 10, 09:55,2.0000
665,07 Jun 10, 10:04,0.0000
666,18 Jun 10, 11:04,2.0000
667,13 Oct 10, 11:54,0.0000
668,15 Oct 10, 12:05,2.0000
669,01 Nov 10, 10:24,0.0000
670,04 Nov 10, 10:00,2.0000
671,01 Dec 10, 10:20,0.0000
672,15 Jul 11, 09:55,2.0000
673,04 Oct 11, 10:24,0.0000
674,14 Oct 11, 11:16,2.0000
675,01 Dec 11, 09:19,0.0000
676,25 May 12, 11:15,2.0000
677,29 May 12, 10:00,1.0000
678,29 May 12, 10:30,2.0000
679,01 Jun 12, 17:00,0.0000
680,21 Jun 12, 13:00,2.0000
681,27 Nov 12, 10:15,0.0000
682,24 May 13, 09:57,2.0000
683,28 May 13, 10:50,0.0000
684,31 May 13, 15:30,2.0000
685,03 Jun 13, 11:05,0.0000
686,07 Jun 13, 09:32,2.0000
687,10 Jun 13, 10:45,0.0000
688,14 Jun 13, 10:18,2.0000
689,08 Oct 13, 16:08,0.0000
690,10 Oct 13, 15:05,2.0000
691,17 Oct 13, 09:26,0.0000
692,18 Oct 13, 15:00,2.0000
693,21 Oct 13, 09:45,0.0000
694,31 Oct 13, 10:15,2.0000
695,04 Nov 13, 10:00,0.0000
696,08 Nov 13, 10:00,2.0000
697,12 Nov 13, 10:15,0.0000
698,15 Nov 13, 08:45,2.0000
